timestamp,data_time,data_source,data_quality,location_station_id,location_station_name,location_province,location_district,location_latitude,location_longitude,temperature_current,temperature_max,temperature_min,temperature_avg,humidity_current,humidity_max,humidity_min,humidity_avg,pressure_current,pressure_max,pressure_min,pressure_avg,wind_speed_current,wind_speed_max,wind_speed_min,wind_speed_avg,wind_direction_current,wind_direction_avg,rain_current,rain_max,rain_min,rain_avg,rain_total,cloud_cover_current,cloud_cover_max,cloud_cover_min,cloud_cover_avg,visibility_current,visibility_max,visibility_min,visibility_avg,thunder_probability
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bạch Ngọc 1,Bạch Ngọc 1,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bạch Ngọc 2,Bạch Ngọc 2,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Díu,Bản Díu,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,4.4,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Ngò,Bản Ngò,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Ngần,Bản Ngần,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Nhùng,Bản Nhùng,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Phùng,Bản Phùng,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Péo,Bản Péo,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Bản Rịa,Bản Rịa,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Cao Bồ,Cao Bồ,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Cao Bồ 1,Cao Bồ 1,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Cao Bồ 2,Cao Bồ 2,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Chi cục thủy lợi,Chi cục thủy lợi,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
2026-02-16 09:36:00,2026-02-16 09:36:00,DataSource.OPENMETEO,DataQuality.MEDIUM,Chiến Phố,Chiến Phố,Hà Giang,Châu Thành,13.2167,106.3366,27.9,31.3,19.3,24.05,62.0,94.0,45.0,73.6,1013.5,1017.85,1007.0,1013.7,10.0,17.7,0.8,7.8,89.0,101.6,0.0,0.1,0.0,0.0,0.0,50.0,77.0,25.0,51.0,10.0,15.0,5.0,9.0,15.0
